id,query,results
QID139,external,"['External', 'Externality', 'External combustion engine', 'External fixation', 'External risk', 'Externalism', 'External auditor', 'External sorting', 'External capsule', 'Reality']"
QID140,relevant,"['Relevant', 'Relevant market', 'Relevant Radio', 'Relevant cost', 'Relevant (magazine)', 'Relevant conduct', 'Relevant alternatives theory', 'Culturally relevant teaching', 'Comscore', 'Common operational picture']"
QID141,main,"['Main', 'Main Page', 'Frankfurt', 'Main course', 'Main sequence', 'The Main Ingredient', 'Tu Tu Main Main', 'Asteroid belt', 'Main Balwaan', 'Main bearing']"
QID142,charlie,"['Charlie', 'Charlie Chaplin', 'Charlie Sheen', 'Charlie Charlie challenge', 'Charlie and the Chocolate Factory (film)', '777 Charlie', 'Charlie & Co.', 'Firestarter (novel)', 'Charlie Parker', 'Charlie Cox']"
QID143,series,"['Series', 'Panchayat (TV series)', 'Television show', 'World Series', 'Honda CBR series', 'Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Comedy Series', 'ATP Tour Masters 1000', 'Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Drama Series', 'List of World Series champions', 'Halo (TV series)']"
QID144,hauptmann,"['Hauptmann', 'Richard Hauptmann', 'Lindbergh kidnapping', 'Gerhart Hauptmann', 'Hauptmann (disambiguation)', 'Hauptmann Deutschland', 'Hauptmann (crater)', 'Moritz Hauptmann', 'Niklas Hauptmann', 'The Captain (2017 film)']"
QID145,ghentian,"['List of adjectivals and demonyms for cities', 'Oswald de Kerchove de Denterghem']"
QID146,glenarm,"['Glenarm', 'Glenarm Castle', 'Glenarm (disambiguation)', 'County Antrim', 'Glenarm Power Plant', 'Glenarm, Illinois', 'Dalriada Festival', 'Glenarm Upper', 'Larne', 'Glenarm, Ontario']"
QID147,{,['Bracket']
QID148,self-enhancement,"['Self-enhancement', 'Self-esteem', 'Self-evaluation motives', 'False-uniqueness effect', 'Self-assessment', 'Social comparison theory', 'Self-knowledge (psychology)', 'Enhancement', 'Self-serving bias', 'Theory of Basic Human Values']"
QID149,porsche,"['Porsche', 'Porsche 911 GT3', 'Porsche Cayenne', 'Porsche 911', 'Ferdinand Porsche', 'Porsche Boxster/Cayman', 'Porsche 964', 'Porsche Taycan', 'Porsche 944', 'Porsche 992']"
QID150,restoration,"['Restoration', 'Stuart Restoration', 'Restorationism', 'Meiji Restoration', 'Bourbon Restoration in France', 'Foreskin restoration', 'Shōwa Restoration', 'Bourbon Restoration', 'Restoration Movement', 'Restoration device']"
